social10,self_esteem,locus,ses,gpa,parent_ed
66.57,0.15,0.51,1.531,3.8,7
54.86,-0.05,0.07,0.808,3,5
54.34,0.94,0.51,0.719,3,5
65.57,1.15,1.38,1.647,4,7
42.93,-0.1,0.07,1.243,2.5,2
36.97,1.33,-0.39,-0.561,2.8,5
59.09,-0.06,0.08,1.176,2.8,6
67.72,-0.05,-0.37,1.131,4,7
65.03,-0.88,1.18,0.562,4,5
54.99,0.46,-0.14,1.874,2.8,7
43.12,-0.27,-0.64,1.27,2.5,5
62.46,-0.45,-0.37,1.227,4,7
61.39,0.16,0.74,0.905,3.8,6
68.39,1.33,0.76,0.6,4,6
54.29,-0.51,0.33,0.762,2.5,5
61.57,1.33,0.3,1.05,3.5,6
64.61,0.42,-0.55,1.11,3,6
55.3,0.43,0.32,1.378,3.3,6
65.67,-1.3,-0.35,1.326,3.5,6
67.13,0.09,0.74,0.634,3.5,7
58.04,1.14,0.32,1.099,3.8,6
63.54,-0.22,-0.11,1.022,4,6
50.72,1.33,1.43,0.483,3,2
69.16,1.33,1.22,1.531,3.3,6
64.12,1.33,0.36,0.47,4,7
40.74,-0.8,-0.96,0.85,2,5
65.34,-0.88,-0.12,1.557,3.5,7
67.53,0.97,0.53,0.569,3,5
62.28,-0.28,0.07,1.164,3.7,7
65.18,0.54,0.3,0.922,4,7
59.92,0.62,-0.16,0.927,4,6
64.74,1.33,1.01,1.401,3.5,6
59.09,0.93,0.27,1.035,3.8,5
50.83,-0.1,-0.41,0.885,2.8,5
45.34,0.48,0.77,0.225,3.5,5
53.55,0.5,1.18,-0.016,3,2
54.4,0.57,-0.15,-0.177,4,3
41.1,0.13,-0.42,0.151,2.5,2
66.43,0.58,0.07,-0.095,4,2
57.64,-0.64,-0.14,0.033,1.3,2
55.27,-0.1,-0.14,-0.082,2.8,3
40.01,-0.23,-0.18,-1.133,2,1
56.32,0.67,0.48,1.379,4,6
49.12,0.16,-0.64,-0.219,3.5,2
41.64,-0.63,-1.02,-0.802,2.3,2
38.04,-0.45,-0.64,-1.718,2.8,1
59.83,0.09,-0.39,-0.36,3.5,3
43.76,0.33,-0.59,-1.29,3,2
39.93,0,-0.79,-0.956,2.8,1
47.99,-0.46,-0.35,0.663,2.3,4
64.01,0,0.07,0.685,4,6
64.74,1.1,0.95,0.03,3.3,3
44.64,0.87,0.75,-0.518,2.1,2
30.16,-0.27,0.3,0.281,2.4,2
44.96,0.32,0.08,-0.559,2.3,2
44.54,0.32,0.07,0.019,4,3
50.86,0.36,-0.62,-0.665,2.8,3
54.15,1.14,0.51,-0.485,3.3,2
